GEOID,Borough,NTA,p_college_pop_2000
36005036000,Bronx,Allerton-Pelham Gardens,0.16081434225472455
36005036100,Bronx,East Tremont,0.0329395941139214
36005036300,Bronx,East Tremont,0.034284749486226014
36005036400,Bronx,Eastchester-Edenwald-Baychester,0.12685071030149286
36005036501,Bronx,East Tremont,0.040090770928232794
36005036502,Bronx,East Tremont,0.03463866474915629
36005036700,Bronx,East Tremont,0.02340502028363413
36005036800,Bronx,Williamsbridge-Olinville,0.1715249833291177
36005036901,Bronx,East Tremont,0.03616107548374082
36005036902,Bronx,East Tremont,0.06056140296837776
36005037000,Bronx,Williamsbridge-Olinville,0.14746952018974213
36005037100,Bronx,East Tremont,0.0478565529966128
36005037200,Bronx,Williamsbridge-Olinville,0.08331054126986188
36005037300,Bronx,East Tremont,0.04995155007402965
36005037400,Bronx,Williamsbridge-Olinville,0.04413432308619544
36005037504,Bronx,East Tremont,0.05953213700236528
36005037600,Bronx,Williamsbridge-Olinville,0.0806973719241438
36005037800,Bronx,Williamsbridge-Olinville,0.11331357710601753
36005037900,Bronx,Mount Hope,0.04386188102746703
36005038000,Bronx,Williamsbridge-Olinville,0.1156631172328067
36005038100,Bronx,Mount Hope,0.04021388216433798
36005038200,Bronx,Williamsbridge-Olinville,0.10492416918370813
36005038301,Bronx,Fordham South,0.03998714002932336
36005038302,Bronx,Fordham South,0.017781498354548335
36005038500,Bronx,Claremont-Bathgate,0.02673627782675961
36005038600,Bronx,Eastchester-Edenwald-Baychester,0.09109641281244109
36005038700,Bronx,Belmont,0.09061181315802833
36005038800,Bronx,Williamsbridge-Olinville,0.10741542062100176
36005038900,Bronx,Belmont,0.039459863075449665
36005039000,Bronx,Williamsbridge-Olinville,0.10343836215495546
36005039100,Bronx,Belmont,0.039052856824884755
36005039200,Bronx,Williamsbridge-Olinville,0.09764017755034307
36005039300,Bronx,Belmont,0.027372705065274935
36005039400,Bronx,Williamsbridge-Olinville,0.04447388047143909
36005039500,Bronx,Claremont-Bathgate,0.04340434076402478
36005039600,Bronx,Williamsbridge-Olinville,0.0646656306330285
36005039700,Bronx,Belmont,0.06892371639848731
36005039800,Bronx,Williamsbridge-Olinville,0.11083329961032067
36005039901,Bronx,Bedford Park-Fordham North,0.04505977613464389
36005039902,Bronx,Bedford Park-Fordham North,0.04049367247464731
36005040100,Bronx,Bedford Park-Fordham North,0.06912736515418859
36005040302,Bronx,Bedford Park-Fordham North,0.026072137241780837
36005040303,Bronx,Van Cortlandt Village,0.05534247289879502
36005040304,Bronx,Van Cortlandt Village,0.06356134854729277
36005040400,Bronx,Williamsbridge-Olinville,0.0939426509779609
36005040501,Bronx,Bedford Park-Fordham North,0.0533455704823045
36005040502,Bronx,Bedford Park-Fordham North,0.052242450407985655
36005040600,Bronx,Williamsbridge-Olinville,0.11099795993199146
36005040701,Bronx,Van Cortlandt Village,0.0663925686152988
36005040702,Bronx,Bedford Park-Fordham North,0.08808040628932604
36005040800,Bronx,Williamsbridge-Olinville,0.07214089090195659
36005040900,Bronx,Van Cortlandt Village,0.14119649151674782
36005041100,Bronx,Bedford Park-Fordham North,0.07507544692134922
36005041300,Bronx,Bedford Park-Fordham North,0.12763361353584468
36005041400,Bronx,Woodlawn-Wakefield,0.06457981247301002
36005041500,Bronx,Bedford Park-Fordham North,0.13190529068907167
36005041800,Bronx,Woodlawn-Wakefield,0.08451940102962933
36005041900,Bronx,Norwood,0.15370586088610494
36005042000,Bronx,Williamsbridge-Olinville,0.08363117012951812
36005042100,Bronx,Norwood,0.17017937501704516
36005042200,Bronx,Williamsbridge-Olinville,0.09254915441747867
36005042300,Bronx,Norwood,0.09047047678506882
36005042400,Bronx,Williamsbridge-Olinville,0.11705730745706126
36005042500,Bronx,Norwood,0.07750036236364466
36005042600,Bronx,Woodlawn-Wakefield,0.15224064192162984
36005042800,Bronx,Woodlawn-Wakefield,0.11502557171906942
36005042901,Bronx,Norwood,0.074900243570051
36005042902,Bronx,Norwood,0.07458965310190241
36005043000,Bronx,Woodlawn-Wakefield,0.11514384177278351
36005043100,Bronx,Norwood,0.08802766613643757
36005043400,Bronx,Woodlawn-Wakefield,0.0833704006621418
36005043600,Bronx,Woodlawn-Wakefield,0.08787817702720992
36005044200,Bronx,Woodlawn-Wakefield,0.11763143867654101
36005044400,Bronx,Woodlawn-Wakefield,0.15148584769733758
36005044800,Bronx,Woodlawn-Wakefield,0.1618930977224775
